run_name,chapter_head_weight,supcon_weight,transformer_learning_rate,gate,top1,top3,macro_f1,chapter_head_top1,train_seconds
cw0.1_sw0.3_lr2e-05,0.1,0.3,2e-05,1.0,0.4683,0.5802,0.4345,0.75,3401.4
cw0.1_sw0.3_lr2e-05,0.1,0.3,2e-05,0.7,0.4678,0.5802,0.434,0.75,3401.4
cw0.1_sw0.3_lr2e-05,0.1,0.3,2e-05,0.6,0.4627,0.5756,0.4282,0.75,3401.4
cw0.1_sw0.3_lr2e-05,0.1,0.3,2e-05,0.5,0.4594,0.5709,0.4248,0.75,3401.4
cw0.3_sw0.3_lr2e-05,0.3,0.3,2e-05,1.0,0.4734,0.57,0.441,0.9319,3286.4
cw0.3_sw0.3_lr2e-05,0.3,0.3,2e-05,0.7,0.4739,0.5695,0.442,0.9319,3286.4
cw0.3_sw0.3_lr2e-05,0.3,0.3,2e-05,0.6,0.4715,0.5667,0.44,0.9319,3286.4
cw0.3_sw0.3_lr2e-05,0.3,0.3,2e-05,0.5,0.4701,0.5648,0.4387,0.9319,3286.4
cw0.5_sw0.3_lr2e-05,0.5,0.3,2e-05,1.0,0.4333,0.5793,0.3964,0.958,3251.0
cw0.5_sw0.3_lr2e-05,0.5,0.3,2e-05,0.7,0.4356,0.5816,0.3986,0.958,3251.0
cw0.5_sw0.3_lr2e-05,0.5,0.3,2e-05,0.6,0.4347,0.5812,0.3979,0.958,3251.0
cw0.5_sw0.3_lr2e-05,0.5,0.3,2e-05,0.5,0.4328,0.577,0.397,0.958,3251.0
cw1_sw0.3_lr2e-05,1.0,0.3,2e-05,1.0,0.3699,0.5434,0.3236,0.9664,3290.1
cw1_sw0.3_lr2e-05,1.0,0.3,2e-05,0.7,0.3713,0.542,0.3255,0.9664,3290.1
cw1_sw0.3_lr2e-05,1.0,0.3,2e-05,0.6,0.3713,0.5392,0.3252,0.9664,3290.1
cw1_sw0.3_lr2e-05,1.0,0.3,2e-05,0.5,0.3694,0.5373,0.3236,0.9664,3290.1
